IDS_SCENARIO_GAISERIC "盖塞里克 (406)"
399131 "穆罕默德给手下士兵三天时间来洗劫这座城市。第三天，他下令信众聚集在圣索菲亚大教堂的布道坛进行祷告。"
399132 "在欧洲的宫廷和教堂里，人们因为穆罕默德的名字而颤抖。而在穆斯林世界，则为了他的胜利而大肆庆祝。他们称他为：“费提赫”——即征服者。"
399133 "没有人会再怀疑穆罕默德了。"

//
// Shimazu (1545)
//

398401 "伊东氏"
398402 "龙造寺氏"
398403 "大友氏"
398404 "小型氏族与海盗"
398405 "幕府将军"
398406 "韩国"
398407 "南蛮"
398408 "1. 你的人口上限为 150。\n\n2. 单位已调整至与日本战国时期相符的状态。请密切留意单位数据。例如，长矛兵现在是基础步兵。\n\n3. 单位之间的克制关系已发生变化。长矛兵克制骑马武士，骑马武士克制藤弓兵，藤弓兵克制长矛兵。日本武士是你麾下最强大的单位，但他们会受到远程攻击重创。\n\n4. 虽然骑射手和火枪手不是战场上的主力，但在数量够多时破坏力也很惊人。\n\n5. 忍者是轻甲单位，但可以立刻杀死比自己强大得多的日本武士或英雄。不过他们在对抗常规单位时排不上用场。\n\n6. 建造南蛮区后，可以在攻城武器厂训练火枪手。\n\n7. 向幕府将军献上贡品可以延后他发动攻击的时间，太早迎接他的怒火并非明智之举。\n\n8. 可供建筑的空间有限。攻击附近岛屿的小型氏族可以获得更多空间，获取更多资源。\n\n9. 完成南蛮任务并非必选项，不过完成后可以获得强力单位与科技。"
398409 "侦察兵报告：\n\n- 你所在的岛津氏统治着九州岛西南部的萨摩省。作为源氏的后裔，你们一族已经统治了这里两百多年。然而变革的时候到了，是时候扩张领地，征服整个九州岛了。\n\n- 伊东氏 (紫色) 控制着九州东南部的两个省 (大隅和日向)。在幕府政治体系中属于中游势力，他们的主战单位是长矛手、步弓手与日本武士。\n\n- 龙造寺氏 (黄色) 是九州的新兴势力，在击败了少贰氏后入主九州西北部地区。他们依靠马上日本武士与步兵部队来守护麾下的身份 (肥前、筑后和肥后)。\n\n- 大友氏 (蓝色) 是九州东北部的老牌大型氏族，因数世纪前曾奋力抵御蒙古入侵而闻名。不过，大友氏的大名对外国思想并不排斥，还会招募南蛮人为其效力。大友氏组建了传统日本军队与南蛮雇佣兵的混合部队来守护麾下的省份 (丰后、丰前与筑前)，还会让足轻装备火器。\n\n- 还有其他小型氏族与倭寇海盗也在九州与周边的岛屿扎根。对于颇具野心的大名来说，既可以选择与这些小型氏族进行贸易，也可以直接征服他们攫取资源。无所顾忌的领主甚至还会前往东边的四国岛招募天下闻名的村上海盗。\n\n- 虽然统治日本的幕府将军远在京都，但他在东北边的毛利氏中颇具影响力。尽管从毛利氏领土赶来九州并不容易，但愤怒的幕府将军可能会派出一支庞大的军队压境而来。征服省份、摧毁日本建筑以及与南蛮结盟都会提高幕府将军的愤怒值。\n\n- 朝鲜王国位于九州岛的西北边，长久以来都是倭寇海盗的劫掠目标。劫掠海岸可以获得丰厚的利润，但想要落实行动则需要大量的船只，才能击败数量不多但实力强大的朝鲜海军。\n\n- 最后是南蛮，也就是南方的蛮族，据说他们的据点是远南的种子岛。虽然他们可以为你提供有趣的援助，但与这些外国人结盟会提高幕府将军的愤怒值。"
398410 "岛津贵久"
398411 "伊东义祐"
398412 "龙造寺隆信"
398413 "大友宗麟"
398414 "蛰居族"
398415 "佛教僧侣"
398416 "这是一个变革的时代。萨摩省一直一来都在为岛津氏提供食物，但新的机会已经到来。你正在与其他氏族交战中，而不少外国人则已经抵达南部岛屿。"
398417 "你仍应该小心幕府将军的力量。尽管他的统治是从远在天边的京都延伸过来的，但你们之间依然必有一战。做好击败他的准备，以确保你对九州九省的统治地位。"
398418 "大名的传统是在大战后举行赏头仪式，以根据家臣杀死的敌人数论功行赏。因此，有必要保留黄金储备来奖励你的战士。"
398419 "每次击杀都会扣减你的黄金。注意维持黄金储备量，确保有钱支付报酬。"
398420 "你的日本武士对于自己杀敌没有获得黄金奖赏而感到失望。他们很快就会离开并加入你的敌人。"
398421 "你太久没有奖励你的武士的杀敌行为。他们背叛了你，加入了你的敌人。"
398422 "随着你的势力在九州蓬勃发展，你可能会引起幕府将军的愤怒。激进的行为或让外国人进入日本会激发他的愤怒。向他献上礼物和贡品，这有助于平息他的怒火。"
398423 "京都的友好官员将继续监视幕府将军的情绪，并在他即将发动入侵时发出警告。"
398424 "征讨省份与破坏敌方建筑会提高幕府将军的愤怒值。献上贡品可以平息他的愤怒。"
398425 "向在京都的幕府将军及其宫廷官员送礼，有助于平息幕府将军的愤怒，并为你争取更多时间。"
398426 "向幕府将军进贡可平息他的愤怒。"
398427 "幕府将军对你的进贡十分满意。"
398428 "幕府将军的愤怒值越来越高。向京都送些礼物可能是明智之举。"
398429 "幕府将军的愤怒值越来越高。做好应对其入侵的准备可能是明智之举。"
398430 "幕府将军召集了忠于他的本州氏族。他开始动员一支强大的军队入侵九州。到了反抗幕府将军的时候了。"
398431 "幕府将军派出了一支大军来征服九州。"
398432 "岛津与南蛮外国人的友谊引起了幕府将军的怀疑。他质疑为什么岛津人放弃了我们的传统。当然，他也害怕你的火药武器。"
398433 "继续加深与南蛮的联系会提高幕府将军的愤怒值，但也能获得更高的回报。"
398434 "不必要地破坏皇帝的土地是可耻的。相反，以敌人的城堡为目标则是英明之举。如果一座城堡受到严重破坏，它的驻军以及周围的省份将被迫屈服于你。"
398435 "你已经征服了这座城堡和周围的省份。派遣村民来修复攻城造成的伤害。"
398436 "你的目标是征服九州剩余的七个省份。"
398437 "只有持有幕府将军红印许可证的船只才允许从事海上贸易。这些所谓的红印船的船长可以沿九州海岸线往来穿梭。"
398438 "你的渔民在船只遗骸中发现了贵重物品。"
398439 "你已经找到了村上海盗的隐秘海湾。他们为岛津氏族提供龙舟服务。"
398440 "从南方来的奇怪大胡子男人登陆了种子岛。这些南蛮，或南方野蛮人，拥有不寻常的船只和武器，并且正在宣扬一种奇怪的宗教。"
398441 "也许前往种子岛去接触下这些野蛮人不无裨益。"
398442 "南蛮人有一种令人厌恶的、不经常洗澡而散发的臭味，但他们的武器和行事方式很有趣。他们的船长要求在岛津的土地上建造一个南蛮区，以便进行贸易。"
398443 "这会是某种潜在关系的第一步，但也会提高幕府将军的愤怒值。"
398444 "现在可以建造南蛮区 (大商站) 了。完成此建造可加深你与葡萄牙人的关系，并获得火药武器。"
398445 "南蛮人有奇怪的行事方式，但他们也为你的领地带来了财富和枪支。"
398446 "现在可以在攻城武器厂训练火枪手了，也可以建造贸易船了。"
398447 "南蛮船长要求你允许传教士在民众中宣扬他们的宗教。"
398448 "建造修道院可获得更多的欧洲科技与单位。"
398449 "你的许多武士都信奉这种叫做基督教的新宗教。传教士现在可以被派去向其他氏族宣讲上帝的圣言。这将取悦南蛮人，并促使他们分享他们的技术。"
398450 "你现在也可以招募外国雇佣兵——在马背上使用枪支的可怕兵种。"
398451 "现在可以在修道院训练传教士与西班牙征服者了。招降敌人可获得额外奖励。"
398452 "因为你们的土地已经成为基督教充满前景的立足点，南蛮船长提供了他的卡拉维尔战舰服务。这是一种比日本目前已知的任何船只都更强大的舰船。"
398453 "岛津与南蛮的友谊带来了更多的优势。只要支付一定的钱财，外国人就能在城堡提供生产改进火绳枪的知识。"
398454 "可以研究火绳枪独特科技了。"
398455 "南蛮造船匠在码头提供他们的知识。研究造船匠将使你最终能够建造大型战舰。"
398456 "可以研究造船匠了。研究造船匠可解锁更多码头科技。"
398457 "九州的另外三个主要氏族是东南沿海的伊东氏、北部和西部的龙造寺氏以及东北部的大友氏。还有一些较小的氏族居住在九州附近的岛屿和东部的四国岛。"
398458 "大友氏已经接受了南蛮的行事方式。他们现在是外国宗教的追随者，为他们的士兵配备了南蛮武器。"
398459 "位于九州西北部的朝鲜王国长期以来一直是和光海盗的战利品来源。突袭朝鲜将为你提供战利品，充实你的国库。"
398460 "朝鲜海军比日本已知的任何海军都要先进得多。他们的龟甲船很难被击败。"
398461 "毛利氏族居住在东北部本州的西部边缘。他们受到幕府将军的保护，因此目前不可能对他们开战。"
398462 "一些小氏族占据了东部的四国岛。可以征服他们以获得这个岛屿的资源。"
398463 "任意大名都以长枪轻足或长矛兵作为前排部队。只需消耗食物和木材就可以生产，所以应该以此兵种来构成你军队的主力。他们对骑兵最有效，但容易受到日本武士和步弓手的攻击。"
398464 "长矛兵比看上去要强大，用途也更广。建议用长矛兵来作为部队的核心。"
398465 "长弓轻足是一种最基础的远程部队，擅长对付其他步兵。他们很容易受到骑兵和距离很近的步兵武士的攻击。"
398466 "武士是你的精锐步兵，只能在城堡里训练。他们是通用型的士兵，且比长矛兵更强壮。他们很容易受到远程单位和近战忍者刺客的攻击。"
398467 "骑马武士是你的战士中最强壮的。矮小的马匹需要负担起武士护甲的重量，这意味着此兵种的速度并不快，但仍然可以扭转战局，尤其是在远离长矛兵的情况下。"
398468 "忍者是笼罩着神秘色彩的轻型护甲单位，但是如果让他们接近目标，就能发起一击必杀的致命攻击。最适合用来对付日本武士和英雄单位。"
398469 "日本武士曾经以骑马射箭的方式战斗。但现在，只有部分人还拥有这项技艺。如果这些骑射手能在远距离作战，就不用担心他们会受到有效的反击，但训练和装备他们的成本高昂。"
398470 "日本武士英雄是一种特殊的家臣，可以在城堡招募。招募英雄成本高昂且非常耗时，但英雄却是日本最精锐的战士。"
398471 "可以在市场招募好奇的商人。这些善于观察的平民可以四处旅行而不引起怀疑，是非常优秀的间谍。"
398472 "捕鱼船是坚固的船只，可用于探索岛屿。当其抵达船只遗骸附近时，会有好奇的渔民找回有价值的小饰品和其他补给品。"
398473 "伊东氏投降。"
398474 "龙造寺氏投降"
398475 "大友氏投降。"
398476 "九州的所有氏族现在都臣服于岛津氏族。击败幕府将军的军队，维护你的独立性。"
398477 "幕府将军的军队已经被打败了。他不会再打扰岛津氏族了。但九州内仍有一些其他氏族。"
398478 "九州的所有氏族都已臣服于岛津氏族。甚至幕府将军也被岛津的武装力量打倒了。"
398479 "你已经开始自由游戏。完成游戏后，可以在城镇中心用特殊科技宣告胜利来退出剧本。"
398480 "已研究战船与炮舰。现在可以研究大型战舰了。"
398481 "年份：公元 <Year> 年"
398482 "幕府将军的愤怒值：<Ire>/100"
398483 "+ 统治九州的 <provinces>/9 个省份。"
398484 "+ 统治 <provinces>/9 个省份。"
398485 "+ 准备与幕府将军开战。"
398486 "+ 击败幕府将军。"
398487 "- 摧毁城堡可占领省份。"
398488 "- 向幕府将军进贡可平息他的愤怒。"
398489 "- 找到朱印船 (<Seal Ship Found>/5)。"
398490 "- 夺回船只遗骸 (<Shipwrecks Found>/5)。"
398491 "- 访问南蛮 (南方)。"
398492 "- 建造南蛮区 (大商站)，与南蛮进行贸易。"
398493 "- 建造修道院，让传教士传播基督教。"
398494 "- 招降敌人以获得收益 (已招降 <Conversions>/<conversions needed> 人)"
398495 "- 突袭朝鲜海岸。"
398496 "你已经开始自由游戏。完成游戏后，可以在城镇中心宣告胜利 (特殊科技) 来退出剧本。"
398497 "自由游戏：在城镇中心宣告胜利即可退出剧本。"
398498 "幕府将军的军队：<Military Population, 6>"
398499 "生产<b>情报商人<b> (<cost>)\n拥有敏锐观察力的商人，可以充当间谍。作为侦察兵，其移动速度较慢，但视野范围较大。不会受到敌方单位的攻击。"
398500 "生产<b>英雄<b> (<cost>)\n技艺精湛的剑圣 (使剑高手)。只有最强大的日本武士才有资格为最强盛的大名卖命。\n<hp> <attack> <armor> <piercearmor>"
398501 "宣布胜利"
398502 "%d 后幕府将军来袭。"
398503 "大名"

// Shimazu (1545)

399161 "足利幕府将军统治日本长达两个世纪。现在，氏族不再服从，陌生的外国人也来到了这些岛屿。"
399162 "你的岛津氏族统治九州的九省之一。你的氏族是第一代幕府将军源赖朝的后裔，颇受人们尊敬，其武士是日本最优秀的武士。"
399163 "如果氏族必须争夺幕府将军，那么你的氏族的主张比大部分的氏族都要强烈。你对统治九州的愿望也更强烈。"
399164 "是时候让岛津氏族重回他们应有的地位了。"
399171 "你已经击败了九州的对手，并挑战了实力强大的幕府将军。"
399172 "岛津氏族现在统治着九州的所有九个省，恢复了在这些岛屿上应有的地位。"

//
// Oda (1551)
//

398601 "织田氏"
398602 "武田氏"
398603 "上杉氏"
398604 "毛利氏"
398605 "大友氏"
398606 "长宗我部氏"
398607 "京都"
398608 "1. 你的人口上限为 200。\n\n2. 每个氏族都有不同的加成，且开局时会与不同的氏族处于交战状态。\n\n3. 完成氏族的次要目标可获得以下加成。\n\n4. 织田氏：城堡射程提升，驻扎的步兵可射箭。\n武田氏：骑兵的攻击速度加快，骑士系单位的护甲提升。\n上杉氏：步兵的攻击力提升。\n毛利氏：村民变得更强。\n大友氏：火药单位的准确度提升。\n长宗我部氏：资源持续时间增加。\n\n5. 每个氏族都可以在城镇中心研究一项特殊科技。\n\n6. 在困难难度下，你必须在时间耗尽前击败所有氏族。"
398609 "侦察兵报告：\n\n- 织田氏 (黄色)：日本武士与步兵的成本更低，且训练速度更快。\n身处日本国内征伐最为剧烈的地区，织田氏要想存活下来，就必须拥有过人的手腕。织田氏对于民兵尤为重视，只要拥有才能，哪怕只是足轻也能获得提拔，担任重要职务。织田氏与上杉氏、毛利氏和长宗我部氏处于交战状态。\n\n- 武田氏 (红色)：骑兵可发动冲锋攻击，且骑兵攻击力较高。\n在冲突不断的本州中东部地区，骄傲的武田氏并不打算和平度日。想要统一日本，武田氏就必须大规模发动战争，且不断训练精英骑兵。这就是武田氏之道。武田氏与上杉氏、毛利氏和长宗我部氏处于交战状态。\n\n- 上杉氏 (紫色)：日本武士可逐渐恢复生命值，还能造成范围伤害，并免疫招降。可以先于其他势力训练精锐日本武士。拥有英雄上杉谦信，他可以通过战斗升级。\n上杉氏是一群虔诚的战士，他们的领袖是令人闻风丧胆的“越后之龙”上杉谦信。此人勇武无双，正是战神偏爱上杉氏的最有力证明！上杉氏与织田氏、武田氏和大友氏处于交战状态。\n\n- 毛利氏 (橙色)：船只拥有更高的生命值，且成本更低。可以建造犯罪网络和爆炸陷阱，且能在犯罪网络中招募商人、破坏者与忍者。\n毛利氏位于本州西端，受地理位置影响，他们将目光投向了大海......也学会了用暗影之下的手段来增强自身的力量。他们的历史就是一部充斥着诡计和暗杀的篇章，这使他们能够在自己的犯罪网络中招募到行事无所顾忌的人才。毛利氏与织田氏、武田氏和大友氏处于交战状态。\n\n- 大友氏 (蓝色)：可以训练传教士与精锐西班牙征服者。可以建造大商站。可以先于其他势力训练火枪手与炮舰。\n大友氏统治着日本最西边的九州。虽然海洋为他们提供了庇护，但也增大了大友氏向东边扩张的难度。由于与其他氏族距离较远，大友氏获得了不少好处：大友氏是第一个欢迎好奇的南蛮人的氏族，这些外国人来自南方，故称为“南蛮人”。大友氏与上杉氏、毛利氏和长宗我部氏处于交战状态。\n\n- 长宗我部氏 (绿色)：弓兵和骑射手拥有更远的射程。伐木工和农民可以生产黄金。可以先于其他势力训练重装骑射手。\n长宗我部氏孤居于四国岛上，与其他地区隔绝开来，但他们并没有因此而陷入贫困。四国岛拥有丰富的矿产与木材资源，为长宗我部氏打造强悍的弓兵提供了支持。虽然长宗我部氏在本州的立足点脆弱不堪，但一旦站稳脚跟，就能成为他们向外扩张的支点。长宗我部氏与织田氏、武田氏和大友氏处于交战状态。"
398610 "<b>织田氏<b>\n日本武士与步兵的成本更低，且训练速度更快。与上杉氏、毛利氏和长宗我部氏处于交战状态。"
398611 "<b>武田氏<b>\n骑兵可发动冲锋攻击，且骑兵攻击力较高。与上杉氏、毛利氏和长宗我部氏处于交战状态。"
398612 "<b>上杉氏<b>\n日本武士可逐渐恢复生命值，还能造成范围伤害，并免疫招降。可以先于其他势力训练精锐日本武士。拥有英雄单位上杉谦信，该单位可以通过战斗升级。与织田氏、武田氏和大友氏处于交战状态。"
398613 "<b>毛利氏<b>\n船只拥有更高的生命值，且成本更低。可以建造犯罪网络，且能在犯罪网络中招募商人、破坏者与忍者。与织田氏、武田氏和大友氏处于交战状态。"
398614 "<b>大友氏<b>\n可以训练传教士与精锐西班牙征服者。可以建造大商站。可以先于其他势力训练火枪手与炮舰。无法收集圣物。与上杉氏、毛利氏和长宗我部氏处于交战状态。"
398615 "<b>长宗我部氏<b>\n步弓手和骑射手拥有更远的射程。伐木工和农民可以生产黄金。可以先于其他势力训练重装骑射手。与织田氏、武田氏和大友氏处于交战状态。"
398616 "+ 在皇宫选择一个氏族。"
398617 "- 查看侦察兵报告了解每个氏族的详细信息。"
398618 "+ 击败 <Factions Defeated>/4 个氏族。"
398619 "- 在你进入帝王时代前击败一个氏族。"
398620 "- 在某个氏族进入帝王时代前将其击败。"
398621 "- 取得 <Relics Captured>/6 件圣物。"
398622 "- 击杀数比死亡数多 <Kill Ratio>/100。"
398623 "- 招降 <Conversions>/20 个单位。"
398624 "- 先于其他氏族进入帝王时代。"
398625 "在皇宫选择你的氏族。要了解每个氏族，请阅读“侦察兵”。"
398626 "织田氏族生活在日本一个冲突不断的地区，他们必须足智多谋才能在这里生存。织田氏族特别重视平民士兵，但凡这些足轻之中有天赋异禀之人，他们都会加以提拔并委之重任。"
398627 "织田氏与上杉氏、毛利氏和长宗我部氏处于交战状态。日本武士与步兵的成本更低，且训练速度更快。"
398628 "显赫的武田氏族雄踞战乱不断地本州岛的中东部地区。如果武田氏族想要统一日本，他们就必须投入更广大的战争，训练精良的骑兵部队。这就是武田氏族的处世之道。"
398629 "武田氏与上杉氏、毛利氏和长宗我部氏处于交战状态。骑兵可发动冲锋攻击，且攻击力较高。"
398630 "上杉氏是一群虔诚的战士，他们的领袖是令人闻风丧胆的“越后之龙”上杉谦信。此人勇武无双，正是战神偏爱上杉氏的最有力证明！"
398631 "上杉氏与织田氏、武田氏和大友氏处于交战状态。日本武士可逐渐恢复生命值，还能造成范围伤害，并免疫招降。可以先于其他势力训练精锐日本武士。拥有英雄单位上杉谦信，该单位可以通过战斗升级。"
398632 "因为生活在本州岛的西端，毛利氏族顺其自然地将目光投向了大海……并在暗处发挥他们的力量。他们的历史就是一部充斥着诡计和暗杀的篇章，这使他们能够在犯罪网络中招募到使用非常手段的奇人。"
398633 "毛利氏与织田氏、武田氏和大友氏处于交战状态。毛利氏的船只素质更强。可以建造犯罪网络，且能在犯罪网络中招募商人、破坏者与忍者。"
398634 "大友氏族统治着远在西部的九州岛。海洋为他们提供了庇护，但也阻碍了他们向东扩张。与其他氏族相距较远带来的好处是：大友氏族是第一个欢迎充满好奇心的南蛮人 (来自南方的外国人) 的氏族。"
398635 "大友氏与上杉氏、毛利氏和长宗我部氏处于交战状态。可以训练传教士与精锐西班牙征服者。可以建造大商站。可以先于其他势力训练火枪手与炮舰。"
398636 "长宗我部氏孤居于四国岛上，与其他地区隔绝开来，但他们并没有因此而陷入贫困。四国岛拥有丰富的矿产与木材资源，为长宗我部氏打造强悍的弓兵提供了支持。虽然长宗我部氏在本州的立足点脆弱不堪，但一旦站稳脚跟，就能成为他们向外扩张的支点。"
398637 "长宗我部氏与织田氏、武田氏和大友氏处于交战状态。步弓手和骑射手拥有更远的射程。伐木工和农民可以生产黄金。可以先于其他势力训练重装骑射手。"
398638 "你渴望成为全日本的幕府将军，但许多氏族挡住了你的道路。打败他们，所有人都将屈服于你。"
398639 "你日益强大的实力让其他氏族感到恐惧。他们搁置了分歧，联合起来对抗你。毫不例外，他们也会像你的以往的敌人一样被你消灭。"
398640 "其他氏族均已献降，虽然心有不甘，他们也只得接受你成为幕府将军的天命。"
398641 "罪犯网络是毛利氏族的特殊建筑。消息灵通的商人、破坏者和忍者都可以在罪犯网络中招募。"
398642 "大友氏族可以在修道院训练传教士和精锐西班牙征服者，但他们无法收集佛教圣物。"
398643 "上杉谦信的技能会随着战斗不断精进。记得多派他上战场。"
398644 "上杉谦信变得更强了。"
398645 "上杉谦信处境危急。"
398646 "上杉谦信已战死。"
398647 "城堡的射程提升。驻扎的步兵现在可以发射火箭了。"
398648 "骑兵的攻击速度提升，骑士系单位的护甲提升。"
398649 "步兵的攻击力提升。"
398650 "村民变得更强了。"
398651 "火药单位的准确度提升。"
398652 "资源持续时间延长。"
398653 "生产<b>情报商人<b> (<cost>)\n拥有敏锐观察力的商人，可以充当间谍。作为侦察兵，其移动速度较慢，但视野范围较大。不会受到敌方单位的攻击。"
398654 "生产<b>破坏者<b> (<cost>)\n带有炸药的爆破攻城单位。适于攻击建筑。不适于攻击其他单位。使用后会自爆\n<hp> <attack> <armor> <piercearmor> <range>"
398655 "犯罪网络"
398656 "建造<b>犯罪网络<b> (<cost>)\n用于训练特殊单位的建筑。\n<hp> <attack> <armor> <piercearmor> <range> <garrison>"
398657 "击败所有氏族剩余时间：%d。"
398658 "上杉谦信"
398659 "爆炸型陷阱"
398660 "建造<b>爆炸型陷阱<b> (<cost>)\n爆炸型陷阱可摧毁毫无防备的单位。"
398661 "织田信长"
398662 "武田信玄"
398663 "毛利吉成"
398664 "大友宗麟"
398665 "长宗我部国安"
398666 "一向一揆"
398667 "平民晋升"
398668 "战场奖杯"
398669 "车悬阵"
398670 "真正的纯净之地"
398671 "葡萄牙商人"
398672 "勤劳的农民"
398673 "研究<b>平民晋升<b> (<cost>)\n通过升级军事人才库，参军的人就会变得更多。人口上限+20。"
398674 "研究<b>战场奖杯<b> (<cost>)\n可在战场上赢得荣誉之外的奖励。杀死敌方单位可获得黄金。"
398675 "研究<b>车悬阵<b> (<cost>)\n训练和战术可提升精锐日本武士的移动速度。"
398676 "研究<b>真正的纯净之地<b> (<cost>)\n支援气势如虹的起义确有其好处。每个城镇中心 (最多 5 个) 可产生 5 名一向一揆，仅限一次。提升单位抵抗招降的能力。"
398677 "研究<b>葡萄牙商人<b> (<cost>)\n南蛮人带来的不止是枪炮和信仰。大商站可产出双倍资源。"
398678 "研究<b>勤劳的农民<b> (<cost>)\n四国的农民们向来吃苦耐劳。农民生产效率翻倍。"

// Nobunaga (1551)

399181 "花瓣飘落，仙鹤飞翔。"
399182 "幕府将军力量衰弱，日本四分五裂。各大氏族争权夺利，战争降临这片土地。"
399183 "你的氏族是众多氏族之一，但对幕府权力的主张比大多数氏族更为真实。"
399184 "征服各大氏族、统一日本并进行统治是你的命运。"
399185 "只有一只鹤会比其他鹤飞得更高。"
399191 "胜利就是你的命运。"
399192 "其他氏族都反对你，但他们只是像花瓣一样纷纷飘落在琵琶湖上。"
399193 "现在他们向你鞠躬，天皇称你为幕府将军。"
399194 "你统一了日本，开创了新的时代。"

//
// Drake (1572)
//

398701 "总督手下"
398702 "西班牙聚落"
398703 "逃亡黑奴"
398704 "原住民"
398705 "1. 通过夺取西班牙大型战舰和突袭敌方殖民地，便可掠夺黄金。若想突袭殖民地，需要杀死聚落内或岛上所有的总督手下并摧毁所有的塔楼。这样一来，德瑞克的手下就会夺走拓荒者们的财产。\n\n2. 复活节号是德瑞克的旗舰，找到水手便可升级该船。这艘船的炮击可以击穿多艘船只，灵活的走位是赢下海战的关键。然而，复活节号非常不善于对付陆上单位，尽量不要冒险靠海岸太近。\n\n3. 天鹅号是一艘独特的船，它可以夺取敌方的舰船。然而，天鹅号上的海军陆战队在登船后需要休息一段时间才能再次发起登船，所以最合适的策略是让体型更大的复活节号掩护天鹅号发动快速游击。\n\n4. 西班牙大型战舰上载满了金银财宝，他们甚至卸掉了加农炮来装载更多财物。因此这批战舰无法攻击，且速度非常缓慢。\n\n5. 速度更快的战船负责保护这些大型战舰。只要将这批护卫舰引开，就可以轻而易举地接舷并夺取大型战舰。\n\n6. 占领大型战舰后，德瑞克麾下的水手就会开始搬运战舰上的财宝，同时将战舰凿沉。此时需尽量避免战斗与损伤，确保能抢走尽量多的黄金。\n\n7. 探索西班牙大陆美洲并找到愿意加入德瑞克麾下的法国海盗与前非洲奴隶。这其中甚至可能有一两位英雄。"
398706 "侦察兵报告：\n\n- 法兰西斯·德瑞克已经带着两艘船和一队士兵来到了西班牙加勒比海。他手里有伊丽莎白女王颁发的私掠许可证，可以自由抢掠西班牙船只与港口。\n\n- 西班牙人统管着岛屿和大陆上的几个殖民地，还派遣一名总督来保护这几个殖民地免受海盗袭扰。不过要是总督的手下被杀死了，那西班牙聚落就会变成砧板上任人宰割的鱼肉。\n\n- 各个港口都穿梭着西班牙的运宝战舰，上面装满了从殖民地搜刮而来的金银财宝。这些战舰的速度缓慢，防御空虚，是劫掠的上好目标。不过它们也配置了护卫舰。\n\n- 盯上这些目标的人不止德瑞克，有好些胆大包天的人也蠢蠢欲动。德瑞克可以在岛屿和海岸上找到水手和士兵。同样，德瑞克还能找到称为马隆人的前奴隶，他们会加入德瑞克的麾下并向昔日的西班牙奴隶主发起复仇。\n\n- 最后，尤卡坦的丛林与其他大陆的偏远地区还有残存原住文明的活动痕迹。西班牙征服者们曾冒险深入其中寻求黄金，但绝大多数人再也没能回来。"
398707 "迭戈"
398708 "继尧姆·勒·特斯图"
398709 "阿拉瓦克战士"
398710 "西马伦战士"
398711 "水手"
398712 "<BLUE>法兰西斯·德瑞克：水手们，你们知道这片水域的对岸有什么吗？知道那片归属于西班牙的岛屿上有什么吗？前方等待着我们的是荣耀与冒险，还有最为重要的——黄金！我们要从那些西班牙恶魔手中夺走大把的黄金！"
398713 "<BLUE>法兰西斯·德瑞克：我的旗舰——复活节号，其名字取自日历中最为神圣的一天。它有着最为精简的船员配置和饱经风霜的甲板。"
398714 "<BLUE>法兰西斯·德瑞克：我需要招募一些水手负责操控绳索。啊，那里或许有不少能干的法兰西人和老霍金斯的一些手下。"
398715 "<BLUE>法兰西斯·德瑞克：是小天鹅号。可别掉以轻心！那艘船上搭载着一群实力恐怖的海军，他们可以强登西班牙大型战舰并将其轻易占领。"
398716 "复活节号"
398717 "天鹅号"
398718 "法兰西斯·德瑞克"
398719 "+ 掠夺 <!Gold Storage>/40,000 黄金。"
398720 "+ 法兰西斯·德瑞克必须存活。"
398721 "+ 复活节号和天鹅号必须存活。"
398722 "<BLUE>法兰西斯·德瑞克：我的复活节号！ 船长当与他的舰船共存亡！"
398723 "<BLUE>法兰西斯·德瑞克：我的宝贝天鹅号！ 船沉了，我的气运也到头了！"
398724 "<BLUE>法兰西斯·德瑞克：我输得一败涂地！"
398725 "<BLUE>法兰西斯·德瑞克：上船吧，兄弟！ 复活节号上还缺一个能干的水手！"
398726 "招募更多水手可以提升复活节号的实力。"
398727 "马隆人的前身是被迫背井离乡的非裔奴隶。现在的他们早已打破枷锁，获得了自由之身。"
398728 "年迈的传教士说原住民拒绝听从上帝的指引。他请求你带他离开这座岛屿。"
398729 "<BLUE>继尧姆·勒·特斯图：德雷克先生，我是继尧姆·勒·特斯图，这是我的荣幸。现在我们走吧。我太老了，不能等在棕榈树下消磨时光了。我的剑需要饮血！"
398730 "<BLUE>迭戈：西班牙人管你叫“恶龙”(El Draque)，并拿出赏金抓捕你。幸好你找到了朋友——我和我的马隆人伙伴！"
398731 "<BLUE>迭戈：我要给你看另一样东西，德雷克。我有一艘小船，我们可以乘船去劫掠巴拿马的太平洋海岸。"
398732 "<BLUE>迭戈：就算是死，我也要为自由而战！"
398733 "<BLUE>继尧姆·勒·特斯图：德雷克，别管我了，继续走吧！我活了一辈子了，我是为我所钟爱的事而死！"
398734 "<BLUE>法兰西斯·德瑞克：统领把他的加农炮存放在迪奥斯港的武器厂里。我们拿下那座堡垒，我们就会有加农炮！"
398735 "<BLUE>法兰西斯·德瑞克：在武器厂里找一门手推炮！"
398736 "<BLUE>法兰西斯·德瑞克：哈哈！我们会用西班牙人自己的武器和他们作战！"
398737 "<BLUE>法兰西斯·德瑞克：西班牙人在里奥阿查进行非洲人交易。我们拿下了那座堡垒，马隆人将与我们并肩作战。他们别无选择，这里离非洲太远了。"
398738 "英格兰人无法理解迷失的西班牙人。"
